Informe de términos de búsqueda
12 de junio de 2026 - 6 de agosto de 2026
Término de búsqueda,Tipo de concordancia,Añadido/excluido,Grupo de anuncios,Palabra clave,Clics,Impr.,Conversiones,Código de moneda,Coste/conv.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.)
alquiler camioneta,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,3,18,"0,00",COP,"0,00","16,67%","439,67","1319,00","5,56%","61,11%"
alquilar un auto,Concordancia amplia,Ninguno,Pereira unica Airport,alquiler de carros en pereira,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehículos en barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,10,22,"0,00",COP,"0,00","45,45%","456,33","4563,32","13,64%","86,36%"
alquiler de carros por dias,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
requisitos para alquilar un carro en colombia,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","50,00%"
arrendar auto,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
cuanto cuesta el alquiler de un carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros pereira colombia,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
medellin luxury cars,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehiculos en medellin economicos,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta carro,Concordancia amplia,Ninguno,Bogota,renta de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta de auto en cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,1,4,"0,00",COP,"0,00","25,00%","786,00","786,00","100,00%","100,00%"
alquiler auto cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,3,5,"1,81",COP,"1984,71","60,00%","1199,00","3597,00","40,00%","80,00%"
alquiler de carro armenia,Concordancia exacta (ligera variación),Ninguno,Armenia unica Airport,alquiler de carros en armenia,8,12,"0,00",COP,"0,00","66,67%","849,98","6799,86","0,00%","75,00%"
carro alquiler,Concordancia amplia,Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
renta de autos en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","33,33%"
alquiler de vehículos,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,1,1,"0,00",COP,"0,00","100,00%","1337,00","1337,00","0,00%","100,00%"
rent car,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros en cartagena aeropuerto,Concordancia de frase,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehículo en ibagué,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,1,1,"0,00",COP,"0,00","100,00%","598,00","598,00","100,00%","100,00%"
alquiler carro cartagena aeropuerto,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros por días,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,1,1,"0,00",COP,"0,00","100,00%","140,00","140,00","0,00%","100,00%"
alquiler vehiculos pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,1,6,"0,00",COP,"0,00","16,67%","790,00","790,00","0,00%","100,00%"
car rental manizales colombia,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquila autos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
america car rental,Concordancia amplia,Excluido,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
cuanto vale alquilar un carro en colombia,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentar carro en valledupar,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,3,5,"0,00",COP,"0,00","60,00%","387,33","1162,00","60,00%","100,00%"
alquiler autos barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,5,21,"0,00",COP,"0,00","23,81%","925,40","4627,00","20,00%","90,00%"
alquiler de auto,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
alquiler de carro en ibague,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,13,25,"2,10",COP,"2709,17","52,00%","436,62","5676,00","61,90%","100,00%"
renta de carros en armenia,Concordancia exacta (ligera variación),Ninguno,Armenia unica Airport,alquiler de carros en armenia,3,7,"0,97",COP,"2784,57","42,86%","901,33","2704,00","28,57%","85,71%"
renta de carro barranquilla,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
rentar carro colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
renta de carros en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rentar carros cerca de mi,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de camionetas bogota,Concordancia de frase (ligera variación),Añadido,Bogota,alquiler de carros bogota,6,24,"0,00",COP,"0,00","25,00%","533,17","3199,00","13,04%","65,22%"
alquiler camioneta 4x4 bogota,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
arrendar carro,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de vehiculos baratos,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
car rental cucuta,Concordancia exacta (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
agencias de renta de autos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de autos bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,28,129,"3,00",COP,"6180,29","21,71%","662,17","18540,86","15,20%","79,20%"
alquiler camioneta doble cabina bogota,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","1108,00","1108,00","100,00%","100,00%"
alquiler de vehiculos en bogota colombia,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","681,00","681,00","0,00%","100,00%"
alquiler de carros colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler vehiculo bogota,Concordancia exacta (ligera variación),Añadido,Bogota,alquiler de carros bogota,1,13,"0,00",COP,"0,00","7,69%","2611,00","2611,00","16,67%","83,33%"
renta de auto en bogota colombia,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler camionetas 7 puestos bogotá,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
app para rentar autos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros,Concordancia amplia,Ninguno,Medellin,alquiler carros medellin,1,1,"0,00",COP,"0,00","100,00%","1814,08","1814,08","100,00%","100,00%"
alquiler de carros bogota calle 80,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquilar carro en manizales,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,3,10,"0,00",COP,"0,00","30,00%","413,33","1240,00","30,00%","100,00%"
alquiler de auto cerca de mi,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","730,00","730,00","0,00%","100,00%"
alquiler de autos en cucuta colombia,Concordancia exacta (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,2,5,"0,00",COP,"0,00","40,00%","236,00","472,00","25,00%","75,00%"
renta de vehiculos medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,2,10,"0,00",COP,"0,00","20,00%","2069,21","4138,42","11,11%","55,56%"
alquiler carro automatico,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","1182,00","1182,00","50,00%","100,00%"
renta car colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,2,2,"0,00",COP,"0,00","100,00%","434,00","868,00","0,00%","100,00%"
manizales rent a car,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,3,6,"0,00",COP,"0,00","50,00%","787,67","2363,00","20,00%","100,00%"
renta de carros en manizales colombia,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,1,1,"0,00",COP,"0,00","100,00%","377,00","377,00","0,00%","100,00%"
grand renta car,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,1,3,"0,00",COP,"0,00","33,33%","462,00","462,00","50,00%","50,00%"
rentar carro,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,2,7,"0,00",COP,"0,00","28,57%","538,37","1076,75","0,00%","100,00%"
agencias para rentar carros,Concordancia amplia,Ninguno,Medellin,alquiler de carros en medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros manizales mall plaza,Concordancia de frase,Ninguno,Manizales,alquiler de carros manizales,4,9,"0,00",COP,"0,00","44,44%","311,75","1247,00","37,50%","87,50%"
alquiler carros neiva precios,Concordancia exacta (ligera variación),Ninguno,Neiva unica Airport,alquiler de carros en neiva,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros bucaramanga,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,244,633,"3,42",COP,"30153,50","38,55%","422,19","103013,70","34,16%","90,97%"
car rental,Concordancia amplia,Ninguno,Bogota,renta de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
latam alquiler de autos,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta autos,Concordancia amplia,Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquilar auto,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
carros alquilados,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,1,3,"0,00",COP,"0,00","33,33%","587,00","587,00","0,00%","50,00%"
donde alquilar carros en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,8,"0,00",COP,"0,00","12,50%","361,00","361,00","12,50%","75,00%"
carros renta cerca de mi,Concordancia amplia,Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de automóvil en bogotá,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","523,00","523,00","0,00%","100,00%"
arriendo vehiculo,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler vehiculo,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,6,"1,81",COP,"844,20","16,67%","1530,00","1530,00","0,00%","100,00%"
alquiler coche bogota colombia,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
costo de renta de auto por dia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler carro medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,11,108,"2,71",COP,"3423,36","10,19%","842,82","9271,00","4,85%","53,40%"
renta de auto,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler carro valledupar,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,12,32,"0,00",COP,"0,00","37,50%","967,16","11605,90","35,71%","96,43%"
tu carroya barranquilla,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
requisitos para alquilar un carro en bogotá,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,2,10,"0,00",COP,"0,00","20,00%","230,00","460,00","33,33%","100,00%"
carros cartagena,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
renta car economicos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
cuanto sale rentar un carro,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de vehiculos,Concordancia amplia,Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","33,33%","100,00%"
renta de carros,Concordancia amplia,Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,1,1,"0,00",COP,"0,00","100,00%","665,00","665,00","100,00%","100,00%"
car rental bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,4,17,"0,00",COP,"0,00","23,53%","1157,25","4629,00","6,67%","73,33%"
aplicacion para alquilar carros,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de autos en villavicencio,Concordancia exacta (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,5,13,"0,00",COP,"0,00","38,46%","308,60","1543,00","41,67%","100,00%"
alquiler de camionetas 4x4 en cúcuta,Concordancia de frase (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,1,1,"0,00",COP,"0,00","100,00%","253,00","253,00","100,00%","100,00%"
renta car barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,28,76,"1,27",COP,"17892,20","36,84%","811,21","22713,89","26,09%","79,71%"
rentautos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
rent a car medellin alquiler de carros en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent a car,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,3,17,"0,00",COP,"0,00","17,65%","897,67","2693,00","33,33%","73,33%"
alquiler carros near me,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
arrendar un carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent a car calle 26,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent car cartagena colombia,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler coche armenia colombia,Concordancia exacta (ligera variación),Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
requisitos para rentar un carro,Concordancia amplia,Ninguno,Monteria,alquiler de carros en monteria,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
requisitos para alquilar un carro en colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
renta carros santa marta,Concordancia de frase (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,1,2,"0,00",COP,"0,00","50,00%","419,00","419,00","50,00%","100,00%"
alquila autos,Concordancia amplia,Ninguno,Santa marta,alquiler de carros santa marta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
carro alquiler barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,1,5,"0,00",COP,"0,00","20,00%","389,00","389,00","100,00%","100,00%"
alquilar un carro en santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carros en bogotá,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,2,9,"0,00",COP,"0,00","22,22%","551,00","1102,00","22,22%","66,67%"
vehiculos en alquiler,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquilar carros,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,1,6,"0,00",COP,"0,00","16,67%","874,00","874,00","20,00%","80,00%"
renta de autos bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,22,66,"2,65",COP,"5697,30","33,33%","686,07","15093,48","10,53%","68,42%"
alquiler de carros panamerican rentacar,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
